"filename", "language", "TypeScript", "TypeScript JSX", "Markdown", "CSS", "JSON with Comments", "JSON", "JavaScript", "XML", "comment", "blank", "total"
"/Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/user/LogIn.tsx", "TypeScript JSX", 0, 93, 0, 0, 0, 0, 0, 0, 1, 7, 101
"/Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/components/user/SignUp.tsx", "TypeScript JSX", 0, 103, 0, 0, 0, 0, 0, 0, 1, 7, 111
"/Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/lib/db/pocketbaseinit.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/lib/db/shots.ts", "TypeScript", 203, 0, 0, 0, 0, 0, 0, 0, 7, 55, 265
"/Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/lib/utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/lib/validations/shots.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 11, 84
"/Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/middleware.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 25, 12, 71
"/Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/state/user.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 1, 8, 52
"/Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/state/utils/server-cookie.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 2, 6, 42
"/Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/utils/queryProvider.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/src/utils/uiProvider.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 1, 2, 13
"/Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/tailwind.config.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 1, 1, 79
"/Users/benthewill/Projects/textplays/textplay-01-pt/sprint-001/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 25, 0, 0, 0, 2, 1, 28
"Total", "-", 475, 2480, 3, 102, 34, 13186, 8, 2, 364, 376, 17030
